lon,lat,dist_costa_km,r_droga,r_pesca,r_poluicao,r_imigracao,ais_embarcacoes,ais_rotas
-10.8,41.45000000000007,171.3367345653838,0.00069,0.01877,0.07307,0.0,0.07019,0.86408
-10.8,41.55000000000007,168.6757466570253,0.00056,0.00969,0.0668,0.0,0.06593,0.86435
-10.8,41.65000000000007,166.70714021481237,0.00045,0.00466,0.06033,0.0,0.06206,0.86495
-10.8,41.75000000000007,165.45563114145517,0.00035,0.00194,0.05759,0.0,0.05917,0.86578
-10.8,41.85000000000007,164.93754376658293,0.00026,0.00067,0.05779,0.0,0.05808,0.86676
-10.8,41.950000000000074,165.15978021482607,0.00019,0.00019,0.05917,0.0,0.05889,0.86777
-10.8,42.050000000000075,166.11936927097284,0.00014,5e-05,0.05967,0.0,0.06073,0.86865
-10.8,42.15000000000008,167.803661708802,9e-05,1e-05,0.05852,0.0,0.06265,0.86931
-10.700000000000001,36.85,148.22664506499055,0.50798,5e-05,0.04665,0.00084,0.06193,0.7752
-10.700000000000001,36.95,147.15042120512834,0.49715,0.0001,0.04339,0.00098,0.05685,0.76108
-10.700000000000001,37.050000000000004,146.90094214807027,0.4831,0.00019,0.03978,0.00112,0.05277,0.74674
-10.700000000000001,37.150000000000006,147.48240348141437,0.46617,0.0003,0.0381,0.00128,0.05021,0.73616
-10.700000000000001,37.25000000000001,148.88506996619475,0.44673,0.0004,0.04043,0.00143,0.04876,0.73305
-10.700000000000001,37.35000000000001,151.0243663782117,0.42525,0.00049,0.04544,0.00159,0.04782,0.73725
-10.700000000000001,37.45000000000001,153.30570121776165,0.40221,0.00063,0.05013,0.00176,0.04737,0.74469
-10.700000000000001,37.55000000000001,155.58703605731182,0.37811,0.00089,0.05442,0.00192,0.04804,0.75118
-10.700000000000001,37.65000000000001,155.58347623622683,0.35346,0.00129,0.06003,0.00207,0.05037,0.75522
-10.700000000000001,37.750000000000014,147.5986090771199,0.32872,0.00188,0.06651,0.0022,0.05341,0.75767
-10.700000000000001,37.850000000000016,140.03218528171502,0.3043,0.00303,0.07221,0.00229,0.05527,0.76019
-10.700000000000001,37.95000000000002,132.95566410486055,0.2805,0.00546,0.07472,0.00233,0.05568,0.76414
-10.700000000000001,38.05000000000002,126.45132071226698,0.25756,0.00961,0.07162,0.00231,0.05687,0.77041
